sex,age,h.cent,h.cm,bpC50,bpC90,bpC95,bpC9512,bp
1,16,5,162.1,63,77,80,92,dbp
1,16,10,165,64,78,81,93,dbp
1,16,25,169.6,66,79,83,95,dbp
1,16,50,174.6,67,80,84,96,dbp
1,16,75,179.5,68,81,85,97,dbp
1,16,90,183.8,69,82,86,98,dbp
1,16,95,186.4,69,82,86,98,dbp
1,17,5,163.8,65,78,81,93,dbp
1,17,10,166.5,66,79,82,94,dbp
1,17,25,170.9,67,80,84,96,dbp
1,17,50,175.8,68,81,85,97,dbp
1,17,75,180.7,69,82,86,98,dbp
1,17,90,184.9,70,82,86,98,dbp
1,17,95,187.5,70,83,87,99,dbp
2,2,5,84.9,45,58,62,74,dbp
2,2,10,86.3,46,58,63,75,dbp
2,2,25,88.6,47,59,63,75,dbp
2,2,50,91.1,48,60,64,76,dbp
2,2,75,93.7,49,61,65,77,dbp
2,2,90,96,50,62,66,78,dbp
2,2,95,97.4,51,62,66,78,dbp
2,3,5,91,48,60,64,76,dbp
2,3,10,92.4,48,61,65,77,dbp
2,3,25,94.9,49,61,65,77,dbp
2,3,50,97.6,50,62,66,78,dbp
2,3,75,100.5,51,63,67,79,dbp
2,3,90,103.1,53,64,68,80,dbp
2,3,95,104.6,53,65,69,81,dbp
2,4,5,97.2,50,62,66,78,dbp
2,4,10,98.8,51,63,67,79,dbp
2,4,25,101.4,51,64,68,80,dbp
2,4,50,104.5,53,65,69,81,dbp
2,4,75,107.6,54,66,70,82,dbp
2,4,90,110.5,55,67,70,82,dbp
2,4,95,112.2,55,67,71,83,dbp
2,5,5,103.6,52,64,68,80,dbp
2,5,10,105.3,52,65,69,81,dbp
2,5,25,108.2,53,66,70,82,dbp
2,5,50,111.5,55,67,71,83,dbp
2,5,75,114.9,56,68,72,84,dbp
2,5,90,118.1,57,69,73,85,dbp
2,5,95,120,57,70,73,85,dbp
2,6,5,110,54,67,70,82,dbp
2,6,10,111.8,54,67,71,83,dbp
2,6,25,114.9,55,68,72,84,dbp
2,6,50,118.4,56,69,72,84,dbp
2,6,75,122.1,57,70,73,85,dbp
2,6,90,125.6,58,71,74,86,dbp
2,6,95,127.7,59,71,74,86,dbp
